Postal code,n_positives,city
30500,1,Murcia
30507,0,Molina de Segura
30508,0,Murcia
30510,0,Murcia
30530,10,Murcia
30560,0,Murcia
30562,0,Murcia
30564,2,Murcia
30600,0,Murcia
30740,0,Murcia
30800,5,Murcia
30820,0,Alcantarilla
30840,1,Murcia
30850,34,Totana
30860,5,Murcia
30868,1,Murcia
30870,5,Murcia
30877,0,Murcia
30880,5,Murcia
30890,1,Murcia
31006,2,Navarra
31100,1,Navarra
31174,4,Etxauri
31190,0,Navarra
31192,1,Navarra
31200,2,Navarra
31390,1,Navarra
31400,29,Navarra
31409,1,Sanguesa
31421,0,Navarra
31460,0,Navarra
31500,5,Navarra
31587,5,Mendavia
31600,1,Navarra
31620,2,Navarra
31621,0,Navarra
31695,0,Navarra
31800,0,Navarra
31870,1,Navarra
32004,0,Ourense
32005,0,Ourense
32627,1,Ourense
33008,0,Asturias
33009,0,Asturias
33010,2,Asturias
33011,0,Asturias
33012,1,Oviedo
33119,0,Asturias
33202,1,Asturias
33204,0,Gijon
33205,0,Asturias
33212,0,Asturias
33213,0,Asturias
33392,1,Asturias
33403,0,Asturias
33405,0,Asturias
33500,3,Asturias
33509,1,Asturias
33510,0,Asturias
33592,0,Asturias
33670,0,Asturias
33690,0,Asturias
33700,4,Asturias
33950,2,Asturias
35015,0,Las Palmas
35018,0,Las Palmas
35200,0,Las Palmas
35213,1,Telde
35259,0,Las Palmas
35339,0,Las Palmas
35413,0,Arucas
35415,0,Las Palmas
35509,0,Las Palmas
36001,1,Pontevedra
36002,0,Pontevedra
36003,17,Pontevedra
36004,0,Pontevedra
36140,0,Pontevedra
36164,1,España
36203,1,Pontevedra
36205,0,Vigo
36207,0,Pontevedra
36210,2,Pontevedra
36214,2,Pontevedra
36600,1,Pontevedra
36613,1,Pontevedra
36627,0,Pontevedra
36690,0,Pontevedra
36700,3,Pontevedra
36713,0,Pontevedra
36715,1,Pontevedra
36800,0,Pontevedra
36812,0,Pontevedra
36915,2,Pontevedra
36930,0,Pontevedra
36939,0,Pontevedra
37003,5,Salamanca
37184,1,Salamanca
37621,0,Salamanca
37700,1,Béjar
37760,0,Salamanca
37770,0,Salamanca
38003,0,Santa Cruz de Tenerife
38005,0,Santa Cruz de Tenerife
38007,0,Santa Cruz de Tenerife
38202,0,Santa Cruz de Tenerife
38203,0,Santa Cruz de Tenerife
38290,0,Santa Cruz de Tenerife
38320,0,Santa Cruz de Tenerife
38360,0,Santa Cruz de Tenerife
38379,0,Santa Cruz de Tenerife
38410,0,Santa Cruz de Tenerife
38419,0,Santa Cruz de Tenerife
38509,0,Santa Cruz de Tenerife
38550,0,Santa Cruz de Tenerife
38588,0,Santa Cruz de Tenerife
38627,0,Santa Cruz de Tenerife
38632,1,san miguel de abona
38639,2,Santa Cruz de Tenerife
38660,0,Santa Cruz de Tenerife
38800,2,San Sebastián de La Gomera
39007,2,Cantabria
39008,0,Cantabria
39120,0,Cantabria
39300,1,Torrelavega
39312,0,Cantabria
39400,0,Cantabria
39478,0,Boo de Piélagos
39600,14,Cantabria
39620,0,Cantabria
39700,1,Cantabria
40002,1,Segovia
40006,0,Segovia
40424,0,Segovia
41004,3,Sevilla
41005,0,Sevilla
41006,5,Sevilla
41007,0,Sevilla
41008,4,Sevilla
41009,1,Sevilla
41010,3,Sevilla
41012,5,Sevilla
41013,0,Sevilla
41014,1,Sevilla
41015,3,Sevilla
41016,3,Sevilla
41018,2,Sevilla
41019,6,Sevilla
41020,2,Sevilla
41089,5,Sevilla
41100,14,Sevilla
41111,17,Sevilla
41120,0,Sevilla
41200,0,Sevilla
41210,10,Sevilla
41230,0,Sevilla
41300,1,Sevilla
41309,1,Sevilla
41310,2,Sevilla
41320,0,Sevilla
41400,11,Sevilla
41410,21,Sevilla
41420,0,Sevilla
41440,3,Sevilla
41450,0,Constantina
41500,0,Sevilla
41530,1,Sevilla
41560,5,Sevilla
41600,22,Sevilla
41610,1,Sevilla
41650,6,Sevilla
41701,0,Sevilla
41703,0,Sevilla
41704,3,Sevilla
41710,24,Sevilla
41720,1,Sevilla
41730,1,Sevilla
41740,16,Sevilla
41800,0,Sevilla
41807,1,Sevilla
41808,6,Sevilla
41840,0,Sevilla
41860,0,Gerena
41880,2,Sevilla
41900,0,Sevilla
41907,0,Sevilla
41909,8,Sevilla
41910,0,Sevilla
41920,2,Sevilla
41927,4,Sevilla
41928,0,Sevilla
41940,24,Sevilla
41950,0,Sevilla
41980,0,Sevilla
42001,0,Soria
42004,0,Soria
42005,0,Soria
