Postal code,Value test,City,Geo Location
8811.0,18,Barcelona,"{""latitude"":41.283454478009894,""longitude"":1.722063024781457}"
8812.0,0,Barcelona,"{""latitude"":41.2395599,""longitude"":1.7688935}"
8820.0,0,Barcelona,"{""latitude"":""41.3245566"",""longitude"":""2.0933712""}"
8830.0,1,Barcelona,"{""latitude"":41.339143,""longitude"":2.0423352}"
8840.0,1,Barcelona,"{""latitude"":41.3189185,""longitude"":2.0074367}"
8850.0,3,Barcelona,"{""latitude"":41.3053166,""longitude"":1.9908789}"
8859.0,0,Barcelona,"{""latitude"":41.3427342,""longitude"":1.9525213}"
8860.0,2,Barcelona,"{""latitude"":41.2811353,""longitude"":1.9792555}"
8870.0,4,Barcelona,"{""latitude"":41.2493928,""longitude"":1.8089844}"
8901.0,0,Barcelona,"{""latitude"":41.3625357,""longitude"":2.1068781}"
8902.0,0,Barcelona,"{""latitude"":41.3607177,""longitude"":2.1292237}"
8903.0,0,Barcelona,"{""latitude"":""41.371128"",""longitude"":""2.1269815""}"
8904.0,-2,Barcelona,"{""latitude"":41.37121636951994,""longitude"":2.116634468720378}"
8907.0,1,Barcelona,"{""latitude"":41.3504629,""longitude"":2.1134675}"
8912.0,0,Barcelona,"{""latitude"":41.447811203249614,""longitude"":2.2434177347742033}"
8914.0,6,Barcelona,"{""latitude"":41.4418879,""longitude"":2.22079}"
8921.0,0,Santa Coloma de Gramenet,"46.8876131,16.9002894"
8922.0,0,Barcelona,"{""latitude"":41.44924779760037,""longitude"":2.209101805547185}"
8924.0,-1,Barcelona,"{""latitude"":41.4574744,""longitude"":2.2038611}"
8930.0,-2,Barcelona,"{""latitude"":41.42680639129448,""longitude"":2.2301506650610823}"
8940.0,-3,Barcelona,"{""latitude"":41.3606924,""longitude"":2.0834613}"
8950.0,1,Barcelona,"{""latitude"":41.3723116,""longitude"":2.0854862}"
8960.0,0,Barcelona,"{""latitude"":""41.38541787049269"",""longitude"":""2.0737096946057534""}"
