id,geo_location,city,postal_code,text_test
158169,"{""latitude"":38.906778960861935,""longitude"":-6.610283754705841}",Montijo,6480,Positive
157863,"{""latitude"":37.44644209435329,""longitude"":-7.104483390767956}",San Bartolomé de la Torre,21510,Positive
156866,"{""latitude"":37.9376102,""longitude"":-7.6031756}",Serpa,7830-320,StrongPositive
156099,"{""latitude"":37.4173842,""longitude"":-6.4038998}",Paterna del Campo,21880,Positive
156053,"{""latitude"":38.6376237,""longitude"":-0.8704292}",Villena,3400,StrongPositive
153509,"{""latitude"":37.2980185,""longitude"":-3.1298898}",Guadix,18500,Positive
153071,"{""latitude"":39.5382956,""longitude"":-0.3488399}",Foios,46134,Positive
153018,"{""latitude"":37.2116799,""longitude"":-7.4044644}",Ayamonte,21400,StrongPositive
152991,"{""latitude"":37.1367695,""longitude"":-8.4590954}",Lagoa,8400-435,Positive
152881,"{""latitude"":36.74863816729321,""longitude"":-3.518788087684977}",Motril,18600,Positive
152819,"{""latitude"":41.6276082,""longitude"":2.2948739}",les Franqueses del Vallès,8520,Positive
152492,"{""latitude"":40.4588704,""longitude"":-3.7044563}",Madrid,28039,StrongPositive
152285,"{""latitude"":41.62750131100718,""longitude"":2.295013627505397}",les Franqueses del Vallès,8520,Positive
152133,"{""latitude"":38.9579071,""longitude"":-5.8713317}",Don Benito,6400,Positive
151831,"{""latitude"":40.7356408,""longitude"":-3.9469874}",Mataelpino,28492,Positive
151250,"{""latitude"":40.5434949,""longitude"":-8.5320553}",Oliveira do Bairro,3770-059,StrongPositive
150683,"{""latitude"":37.41741056,""longitude"":-6.40389569}",Paterna del Campo,21880,Positive
149173,"{""latitude"":41.62751995236607,""longitude"":2.29497007519265}",les Franqueses del Vallès,8520,Positive
148913,"{""latitude"":39.40536388311367,""longitude"":-0.40603406555978105}",Catarroja,46470,Positive
148155,"{""latitude"":37.5200113,""longitude"":-4.6567747}",Aguilar de la Frontera,14920,Positive
148136,"{""latitude"":40.4547694,""longitude"":-3.4561233}",Torrejón de Ardoz,28850,StrongPositive
147468,"{""latitude"":43.2082473,""longitude"":-8.6887532}",Carballo,15102,StrongPositive
147441,"{""latitude"":40.3155246,""longitude"":-8.7525506}",Cantanhede,3060-586,Positive
146883,"{""latitude"":37.8982201,""longitude"":-6.5687137}",Aracena,21200,StrongPositive
